"liability_owner","legal_entity_id","info_type","credit_status","valid_from","valid_to"
13736201,13736201,"CC","1",2013-11-22,2016-11-22
3417057,3417057,"CC","1",2015-02-25,2018-02-25
5372185,5372185,"CC","4",2009-04-17,2029-04-17
12477386,12477386,"CC","4",2014-03-13,2034-03-13
4642272,4642272,"CC","1",2008-04-04,2011-04-04
1779935,1779935,"CC","1",2008-01-03,2011-01-03
12010380,12010380,"CC","0",2000-06-21,2005-06-21
10355038,10355038,"CC","2",2007-12-17,2012-12-17
18913824,18913824,"CC","4",2007-10-31,2017-10-31
7062725,7062725,"CC","1",2004-07-12,2007-07-12
7309430,7309430,"CC","4",2008-06-26,2011-06-26
7447391,7447391,"CC","1",2007-05-30,2010-05-30
1636569,1636569,"CC","1",2007-10-01,2010-10-01
5454084,5454084,"CC","0",2011-05-31,2014-05-31
2184701,2184701,"CC","3",2011-05-23,2016-05-23
10355038,10355038,"CC","1",2009-10-26,2012-10-26
9594981,9594981,"CC","1",2006-02-02,2009-02-02
13654847,13654847,"CC","1",2003-10-22,2006-10-22
12653318,12653318,"CC","4",2006-12-13,2026-12-13
12130205,12130205,"CC","2",2004-02-02,2009-02-02
19104656,19104656,"CC","4",2013-04-15,2033-04-15
18207471,18207471,"CC","1",2013-04-25,2016-04-25
13790037,13790037,"CC","1",2014-01-07,2017-01-07
10355038,10355038,"CC","2",2007-09-07,2010-09-07
4393486,4393486,"CC","4",2006-07-05,2009-07-05
7062725,7062725,"CC","4",2005-06-13,2008-06-13
9978239,9978239,"CC","1",2001-03-13,2004-03-13
16867792,16867792,"CC","1",2004-03-16,2007-03-16
17216655,17216655,"CC","1",2006-04-05,2009-04-05
13602342,13602342,"CC","1",2012-02-16,2015-02-16
1110178,1110178,"CC","1",2006-06-23,2009-06-23
8265844,8265844,"CC","2",2010-03-08,2015-03-08
7062725,7062725,"CC","1",2013-10-03,2016-10-03
7731426,7731426,"CC","1",2014-02-06,2017-02-06
3417057,3417057,"CC","1",2014-02-12,2019-02-12
3417057,3417057,"CC","1",2014-03-24,2019-03-24
13980567,13980567,"CC","2",2009-10-30,2019-10-30
